epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.366,2.05201,2.4733,1.87969,0.05383,0.10633,0.02188,0.00618,2.78008,13.6082,3.05132,0.0701987,0.00331126,0.00331126
2,239.05,2.21252,2.56187,2.05729,0.55861,0.06226,0.03127,0.00965,2.78409,3.65506,2.78867,0.0400671,0.00651303,0.00651303
3,359.041,2.16525,2.52356,2.03627,0.2166,0.1614,0.11738,0.04134,2.3529,5.41204,2.28012,0.00980355,0.0095828,0.0095828
4,476.88,2.08012,2.43646,1.99957,0.22524,0.1845,0.12395,0.04471,2.27025,2.83715,2.19171,0.009406,0.009406,0.009406
5,594.226,2.05884,2.36139,1.95187,0.28081,0.2392,0.17559,0.06027,2.23658,2.63415,2.12135,0.009208,0.009208,0.009208
6,710.381,1.99443,2.2944,1.88828,0.30953,0.2454,0.18065,0.06406,2.20531,2.61859,2.1542,0.00901,0.00901,0.00901
7,829.081,1.96578,2.24085,1.86377,0.33782,0.22018,0.1728,0.05726,2.29823,2.60069,2.20179,0.008812,0.008812,0.008812
8,949.46,1.92737,2.18437,1.82845,0.34822,0.31381,0.24093,0.09449,2.14729,2.46693,2.04501,0.008614,0.008614,0.008614
9,1069.53,1.90818,2.15398,1.81433,0.40926,0.19756,0.17809,0.07227,2.0382,3.24624,1.91969,0.008416,0.008416,0.008416
10,1281.46,1.89497,2.12511,1.80897,0.41375,0.32008,0.30332,0.12186,2.04043,2.22318,1.9338,0.008218,0.008218,0.008218
11,1399.93,1.86196,2.09972,1.79094,0.40764,0.28951,0.26468,0.10567,2.05123,2.20167,1.94243,0.00802,0.00802,0.00802
12,1522.04,1.83912,2.07509,1.77458,0.42112,0.31478,0.29843,0.11271,2.08829,2.22005,1.94951,0.007822,0.007822,0.007822
13,1643.06,1.86989,2.05036,1.77441,0.44896,0.31266,0.31979,0.15015,1.97517,1.99147,1.84392,0.007624,0.007624,0.007624
14,1808.16,1.8384,2.05648,1.7623,0.43856,0.32825,0.31873,0.13118,2.06333,2.0629,1.92944,0.007426,0.007426,0.007426
15,1927.09,1.81722,1.96757,1.73427,0.44948,0.37241,0.3388,0.15062,1.9671,1.99097,1.84063,0.007228,0.007228,0.007228
16,2045.43,1.78907,1.97286,1.7218,0.47011,0.36306,0.36019,0.14093,2.10167,2.01016,1.91422,0.00703,0.00703,0.00703
17,2164.42,1.79554,1.97114,1.70653,0.47357,0.34947,0.35819,0.15383,1.99757,1.95854,1.84474,0.006832,0.006832,0.006832
18,2284.09,1.79513,1.90715,1.6984,0.52761,0.3723,0.38456,0.18315,1.88708,1.89484,1.77516,0.006634,0.006634,0.006634
19,2401.64,1.79779,1.93179,1.69711,0.45913,0.3651,0.34708,0.14336,2.00972,2.00395,1.87821,0.006436,0.006436,0.006436
20,2521.6,1.76176,1.87971,1.66694,0.48519,0.35723,0.34936,0.1511,2.0042,1.99212,1.83082,0.006238,0.006238,0.006238
21,2644.44,1.76438,1.89774,1.69197,0.54584,0.36296,0.39296,0.19103,1.86633,1.87943,1.77612,0.00604,0.00604,0.00604
22,2763.96,1.7394,1.83405,1.65726,0.52443,0.40125,0.41651,0.19786,1.89175,1.83717,1.75799,0.005842,0.005842,0.005842
23,2881.23,1.72314,1.83174,1.65697,0.55713,0.3762,0.40371,0.18592,1.91677,1.81452,1.76576,0.005644,0.005644,0.005644
24,2998.35,1.7184,1.81172,1.64478,0.51056,0.37624,0.37635,0.17922,1.83774,1.83332,1.73117,0.005446,0.005446,0.005446
25,3118.62,1.71724,1.79415,1.64235,0.54033,0.40159,0.42545,0.19826,1.88814,1.78633,1.73904,0.005248,0.005248,0.005248
26,3237.63,1.70489,1.81613,1.65474,0.52375,0.39911,0.41025,0.19081,1.89697,1.79484,1.76301,0.00505,0.00505,0.00505
27,3356.5,1.69657,1.80215,1.6321,0.58492,0.38414,0.41746,0.20203,1.88074,1.81809,1.75271,0.004852,0.004852,0.004852
28,3472.54,1.69178,1.78187,1.63952,0.59318,0.39814,0.44082,0.2134,1.8653,1.75761,1.72448,0.004654,0.004654,0.004654
29,3591.42,1.6988,1.77624,1.62965,0.56838,0.40452,0.43248,0.20262,1.88377,1.78062,1.72208,0.004456,0.004456,0.004456
30,3708.02,1.68012,1.73116,1.60967,0.49519,0.37853,0.3671,0.18179,1.80738,1.89281,1.69649,0.004258,0.004258,0.004258
31,3826.51,1.68655,1.75632,1.63101,0.55043,0.41128,0.43655,0.21263,1.84625,1.7297,1.7057,0.00406,0.00406,0.00406
32,3944.08,1.65526,1.72716,1.62025,0.60432,0.39991,0.45086,0.22681,1.84802,1.70891,1.69621,0.003862,0.003862,0.003862
33,4061.55,1.6453,1.71585,1.60908,0.60535,0.41865,0.45042,0.23744,1.75276,1.67759,1.6636,0.003664,0.003664,0.003664
34,4181.83,1.65309,1.7002,1.60625,0.58782,0.42264,0.46684,0.24172,1.78201,1.67219,1.66862,0.003466,0.003466,0.003466
35,4302.27,1.63833,1.68016,1.58212,0.61701,0.42885,0.47099,0.25113,1.73269,1.63125,1.63388,0.003268,0.003268,0.003268
36,4421.97,1.6206,1.68049,1.5831,0.57138,0.43533,0.47353,0.25377,1.69592,1.62858,1.61407,0.00307,0.00307,0.00307
37,4542.01,1.60398,1.64862,1.56947,0.59243,0.44446,0.48488,0.25882,1.71713,1.60435,1.60762,0.002872,0.002872,0.002872
38,4659.03,1.60002,1.65416,1.5804,0.6247,0.43991,0.47739,0.25322,1.73468,1.67288,1.63586,0.002674,0.002674,0.002674
39,4784.45,1.59385,1.62061,1.55945,0.64567,0.41797,0.47553,0.24455,1.78539,1.63558,1.62733,0.002476,0.002476,0.002476
40,4909.71,1.5944,1.6118,1.55818,0.62619,0.43484,0.48112,0.25558,1.69776,1.56608,1.5941,0.002278,0.002278,0.002278
41,5039.15,1.53644,1.54348,1.57464,0.62425,0.42445,0.48297,0.25732,1.70091,1.58417,1.5982,0.00208,0.00208,0.00208
42,5151.15,1.51501,1.49953,1.5501,0.6479,0.44245,0.49945,0.26099,1.71169,1.54963,1.5976,0.001882,0.001882,0.001882
43,5260.38,1.50833,1.47955,1.54037,0.60042,0.46521,0.4997,0.26981,1.68217,1.53422,1.57535,0.001684,0.001684,0.001684
44,5372.49,1.49441,1.46548,1.53935,0.63736,0.46834,0.5131,0.28419,1.65194,1.51706,1.56723,0.001486,0.001486,0.001486
45,5484.68,1.49048,1.44258,1.53109,0.63689,0.44515,0.50769,0.2761,1.65525,1.52271,1.57203,0.001288,0.001288,0.001288
46,5596.52,1.46969,1.40881,1.51755,0.64659,0.46257,0.52319,0.28785,1.65242,1.49314,1.56565,0.00109,0.00109,0.00109
